,electrode no,parcels
0,midline mask,0
1,Fp1,1
2,Fp2,2
3,F7,3
4,F3,4
5,Fz,5
6,F4,6
7,F8,7
8,FC5,8
9,FC1,9
10,FC2,10
11,FC6,11
12,T7,12
13,C3,13
14,Cz,14
15,C4,15
16,T8,16
17,CP5,17
18,CP1,18
19,CP2,19
20,CP6,20
21,AFz,21
22,P7,22
23,P3,23
24,Pz,24
25,P4,25
26,P8,26
27,PO9,27
28,O1,28
29,Oz,29
30,O2,30
31,PO10,31
32,AF7,32
33,AF3,33
34,AF4,34
35,AF8,35
36,F5,36
37,F1,37
38,F2,38
39,F6,39
40,FT7,40
41,FC3,41
42,FC4,42
43,FT8,43
44,C5,44
45,C1,45
46,C2,46
47,C6,47
48,TP7,48
49,CP3,49
50,CPz,50
51,CP4,51
52,TP8,52
53,P5,53
54,P1,54
55,P2,55
56,P6,56
57,PO7,57
58,PO3,58
59,POz,59
60,PO4,60
61,PO8,61
